# tuning.csv -- written by calibrate.py yawmanual
# run_start_local: 2026-05-13T15:16:07
# run_start_utc: 2026-05-13T13:16:07+00:00
# duration_arg_s: 30.0
# ATC_RAT_YAW_P: 0.014999999664723873
# ATC_RAT_YAW_I: 0.0
# ATC_RAT_YAW_D: 0.0
# ATC_RAT_YAW_IMAX: 0.699999988079071
# H_YAW_TRIM: 0.0
# SERVO4_MIN: 800.0
# SERVO4_MAX: 1100.0
# SERVO4_TRIM: 800.0
# SERVO4_FUNCTION: 0.0
# SCR_USER6: 2.0
# H_TAIL_TYPE: 4.0
#
t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,yaw_i_lua,yaw_out_unclamp_lua,kp,ki,kd,imax,h_yaw_trim
0.4276,1,0.0129,0.0,,,,,0.000000,-0.000010,0.015000,0.000000,0.000000,0.700000,0.000000
0.4286,1,-0.0015,0.0,,,,,0.000000,-0.000002,0.015000,0.000000,0.000000,0.700000,0.000000
0.4292,1,0.0310,0.0,800,,,,0.000000,-0.000005,0.015000,0.000000,0.000000,0.700000,0.000000
0.4295,1,0.0140,0.0,800,,,,0.000000,-0.000002,0.015000,0.000000,0.000000,0.700000,0.000000
0.4302,1,0.0108,0.0,800,,,,0.000000,-0.000008,0.015000,0.000000,0.000000,0.700000,0.000000
1.1521,1,-0.0295,0.0,800,15.117,0.120,1.81,0.000000,0.000005,0.015000,0.000000,0.000000,0.700000,0.000000
1.1536,1,-0.0177,0.0,800,15.117,0.120,1.81,0.000000,0.000004,0.015000,0.000000,0.000000,0.700000,0.000000
1.1540,1,0.0173,0.0,800,15.117,0.120,1.81,0.000000,-0.000004,0.015000,0.000000,0.000000,0.700000,0.000000
1.1543,1,0.0100,0.0,800,15.117,0.120,1.81,0.000000,-0.000005,0.015000,0.000000,0.000000,0.700000,0.000000
1.1546,1,-0.0030,0.0,800,15.117,0.120,1.81,0.000000,0.000003,0.015000,0.000000,0.000000,0.700000,0.000000
1.1555,1,0.0076,0.0,800,15.117,0.120,1.81,0.000000,-0.000005,0.015000,0.000000,0.000000,0.700000,0.000000
1.1559,1,-0.0208,0.0,800,15.117,0.120,1.81,0.000000,0.000002,0.015000,0.000000,0.000000,0.700000,0.000000
1.1565,1,-0.0452,0.0,800,15.117,0.120,1.81,0.000000,0.000008,0.015000,0.000000,0.000000,0.700000,0.000000
1.1570,1,0.0215,0.0,800,15.117,0.120,1.81,0.000000,0.000001,0.015000,0.000000,0.000000,0.700000,0.000000
1.3804,1,0.0157,0.0,800,15.117,0.120,1.81,0.000000,-0.000003,0.015000,0.000000,0.000000,0.700000,0.000000
1.3826,1,0.0073,0.0,800,15.117,0.120,1.81,0.000000,0.000001,0.015000,0.000000,0.000000,0.700000,0.000000
2.0727,1,-0.0178,0.0,800,15.117,0.120,1.81,0.000000,0.000003,0.015000,0.000000,0.000000,0.700000,0.000000
2.0750,1,-0.0082,0.0,800,15.117,0.120,1.81,0.000000,0.000009,0.015000,0.000000,0.000000,0.700000,0.000000
