# tuning.csv -- written by calibrate.py yawmanual
# run_start_local: 2026-05-13T15:19:42
# run_start_utc: 2026-05-13T13:19:42+00:00
# duration_arg_s: 120.0
# ATC_RAT_YAW_P: 0.05000000074505806
# ATC_RAT_YAW_I: 0.0
# ATC_RAT_YAW_D: 0.0
# ATC_RAT_YAW_IMAX: 0.699999988079071
# H_YAW_TRIM: 0.0
# SERVO4_MIN: 800.0
# SERVO4_MAX: 1100.0
# SERVO4_TRIM: 800.0
# SERVO4_FUNCTION: 0.0
# SCR_USER6: 2.0
# H_TAIL_TYPE: 4.0
#
t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,yaw_i_lua,yaw_out_unclamp_lua,kp,ki,kd,imax,h_yaw_trim
25.8097,1,-166.1949,0.0,864,15.101,0.100,1.51,0.000000,0.143021,0.050000,0.000000,0.000000,0.700000,0.000000
26.9632,1,-288.1008,0.0,841,15.101,0.100,1.51,0.000000,0.251547,0.050000,0.000000,0.000000,0.700000,0.000000
28.0035,1,-202.7696,0.0,876,15.101,0.100,1.51,0.000000,0.175453,0.050000,0.000000,0.000000,0.700000,0.000000
28.6918,1,-295.8524,0.0,852,15.101,0.100,1.51,0.000000,0.259136,0.050000,0.000000,0.000000,0.700000,0.000000
29.3826,1,-299.6131,0.0,875,15.101,0.100,1.51,0.000000,0.264415,0.050000,0.000000,0.000000,0.700000,0.000000
30.0767,1,-269.6223,0.0,875,15.101,0.100,1.51,0.000000,0.234975,0.050000,0.000000,0.000000,0.700000,0.000000
31.4468,1,-314.9590,0.0,870,15.101,0.100,1.51,0.000000,0.275406,0.050000,0.000000,0.000000,0.700000,0.000000
32.4894,1,-406.8701,0.0,882,15.101,0.100,1.51,0.000000,0.351520,0.050000,0.000000,0.000000,0.700000,0.000000
33.1813,1,-296.4514,0.0,891,15.101,0.100,1.51,0.000000,0.260804,0.050000,0.000000,0.000000,0.700000,0.000000
34.1100,1,-197.6164,0.0,879,15.101,0.100,1.51,0.000000,0.173556,0.050000,0.000000,0.000000,0.700000,0.000000
34.7996,1,-273.5747,0.0,854,15.101,0.100,1.51,0.000000,0.239897,0.050000,0.000000,0.000000,0.700000,0.000000
35.1901,1,-153.1255,0.0,873,15.101,0.100,1.51,0.000000,0.140493,0.050000,0.000000,0.000000,0.700000,0.000000
36.6489,1,-286.7373,0.0,848,15.101,0.100,1.51,0.000000,0.250480,0.050000,0.000000,0.000000,0.700000,0.000000
37.3389,1,-115.9504,0.0,874,15.101,0.100,1.51,0.000000,0.101439,0.050000,0.000000,0.000000,0.700000,0.000000
38.2630,1,-297.6098,0.0,835,15.101,0.100,1.51,0.000000,0.260049,0.050000,0.000000,0.000000,0.700000,0.000000
38.9537,1,-154.5918,0.0,876,15.101,0.100,1.51,0.000000,0.136611,0.050000,0.000000,0.000000,0.700000,0.000000
39.6434,1,-296.0710,0.0,847,15.101,0.100,1.51,0.000000,0.260334,0.050000,0.000000,0.000000,0.700000,0.000000
40.3340,1,-81.5683,0.0,876,15.101,0.100,1.51,0.000000,0.072963,0.050000,0.000000,0.000000,0.700000,0.000000
41.0262,1,-302.5702,0.0,827,15.101,0.100,1.51,0.000000,0.261147,0.050000,0.000000,0.000000,0.700000,0.000000
41.7264,1,-117.1289,0.0,878,15.101,0.100,1.51,0.000000,0.107437,0.050000,0.000000,0.000000,0.700000,0.000000
42.6597,1,-306.8778,0.0,832,15.101,0.100,1.51,0.000000,0.270032,0.050000,0.000000,0.000000,0.700000,0.000000
43.2271,1,-190.2661,0.0,881,15.101,0.100,1.51,0.000000,0.159740,0.050000,0.000000,0.000000,0.700000,0.000000
44.4947,1,-327.6125,0.0,845,15.101,0.100,1.51,0.000000,0.285624,0.050000,0.000000,0.000000,0.700000,0.000000
44.8736,1,-294.7754,0.0,892,15.101,0.100,1.51,0.000000,0.256673,0.050000,0.000000,0.000000,0.700000,0.000000
45.5784,1,-288.8273,0.0,875,15.101,0.100,1.51,0.000000,0.252208,0.050000,0.000000,0.000000,0.700000,0.000000
46.2687,1,-308.0478,0.0,877,15.101,0.100,1.51,0.000000,0.270623,0.050000,0.000000,0.000000,0.700000,0.000000
46.9563,1,-344.6930,0.0,881,15.101,0.100,1.51,0.000000,0.297130,0.050000,0.000000,0.000000,0.700000,0.000000
47.6427,1,-309.6225,0.0,887,15.101,0.100,1.51,0.000000,0.269734,0.050000,0.000000,0.000000,0.700000,0.000000
48.6498,1,-454.4280,0.0,880,15.101,0.100,1.51,0.000000,0.399020,0.050000,0.000000,0.000000,0.700000,0.000000
49.3398,1,-457.3797,0.0,917,15.101,0.100,1.51,0.000000,0.401129,0.050000,0.000000,0.000000,0.700000,0.000000
50.0291,1,-461.1692,0.0,919,15.101,0.100,1.51,0.000000,0.388085,0.050000,0.000000,0.000000,0.700000,0.000000
50.7188,1,-439.8677,0.0,922,15.101,0.100,1.51,0.000000,0.393642,0.050000,0.000000,0.000000,0.700000,0.000000
51.3705,1,-454.0378,0.0,914,15.101,0.100,1.51,0.000000,0.394659,0.050000,0.000000,0.000000,0.700000,0.000000
