t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,kp,ki,kd,imax,h_yaw_trim
3.3867,1,-0.0222,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.3872,1,-0.0185,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.4625,1,-0.0439,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.4634,1,0.0278,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.6105,1,0.0137,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.7360,1,-0.0592,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.7368,1,-0.0743,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.7373,1,-13.6698,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
3.8375,1,-38.6782,0.0,806,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4319,1,-57.2281,0.0,806,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4327,1,163.4167,0.0,823,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4334,1,268.7132,0.0,842,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4339,1,260.5398,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4341,1,220.4522,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4343,1,179.0591,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4344,1,116.6661,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4346,1,38.7449,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4348,1,-42.8245,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4350,1,-111.5806,0.0,800,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4351,1,-179.3518,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4353,1,-239.7983,0.0,878,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4354,1,-284.8636,0.0,878,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.4355,1,-300.7982,0.0,929,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.6186,1,-274.4774,0.0,969,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.6196,1,-208.8530,0.0,976,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.6208,1,-154.0955,0.0,953,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.6215,1,-115.4649,0.0,932,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.7637,1,-92.3616,0.0,920,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.9679,1,-45.0155,0.0,913,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.9686,1,-10.7761,0.0,893,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
4.9694,1,28.4668,0.0,872,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.1109,1,63.5780,0.0,854,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.1814,1,28.6847,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6146,1,13.5884,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6155,1,61.2108,0.0,860,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6161,1,-16.2536,0.0,831,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6168,1,20.7245,0.0,855,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6172,1,61.0989,0.0,847,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
