# tuning.csv -- written by calibrate.py yawmanual
# run_start_local: 2026-05-13T15:10:49
# run_start_utc: 2026-05-13T13:10:49+00:00
# duration_arg_s: 5.0
# ATC_RAT_YAW_P: 0.10000000149011612
# ATC_RAT_YAW_I: 0.10000000149011612
# ATC_RAT_YAW_D: 0.0
# ATC_RAT_YAW_IMAX: 0.699999988079071
# H_YAW_TRIM: 0.0
# SERVO4_MIN: 800.0
# SERVO4_MAX: 1100.0
# SERVO4_TRIM: 800.0
# SERVO4_FUNCTION: 0.0
# SCR_USER6: 2.0
# H_TAIL_TYPE: 4.0
#
t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,yaw_i_lua,yaw_out_unclamp_lua,kp,ki,kd,imax,h_yaw_trim
0.0007,1,0.0566,0.0,,,,,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.4294,1,-0.0080,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.4303,1,-0.0042,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.4310,1,0.0057,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.4314,1,0.0341,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.4319,1,0.0153,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.5963,1,-0.0396,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.7136,1,-0.0107,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.7860,1,0.0390,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.9946,1,0.0279,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
0.9960,1,0.0081,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
1.2328,1,0.0125,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
1.2341,1,-0.0128,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
1.2346,1,-0.0065,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
1.2911,1,0.0293,0.0,800,15.207,0.220,3.35,,,0.100000,0.100000,0.000000,0.700000,0.000000
