# tuning.csv -- written by calibrate.py yawmanual
# run_start_local: 2026-05-13T15:17:59
# run_start_utc: 2026-05-13T13:17:59+00:00
# duration_arg_s: 120.0
# ATC_RAT_YAW_P: 0.014999999664723873
# ATC_RAT_YAW_I: 0.0
# ATC_RAT_YAW_D: 0.0
# ATC_RAT_YAW_IMAX: 0.699999988079071
# H_YAW_TRIM: 0.0
# SERVO4_MIN: 800.0
# SERVO4_MAX: 1100.0
# SERVO4_TRIM: 800.0
# SERVO4_FUNCTION: 0.0
# SCR_USER6: 2.0
# H_TAIL_TYPE: 4.0
#
t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,yaw_i_lua,yaw_out_unclamp_lua,kp,ki,kd,imax,h_yaw_trim
0.0033,1,-178.4721,0.0,,,,,0.000000,0.046466,0.015000,0.000000,0.000000,0.700000,0.000000
0.0083,1,-239.2342,0.0,814,15.090,0.080,1.21,0.000000,0.062444,0.015000,0.000000,0.000000,0.700000,0.000000
0.6913,1,-211.6195,0.0,819,15.090,0.080,1.21,0.000000,0.055352,0.015000,0.000000,0.000000,0.700000,0.000000
1.3799,1,-197.2626,0.0,816,15.090,0.080,1.21,0.000000,0.051327,0.015000,0.000000,0.000000,0.700000,0.000000
2.7544,1,-287.7181,0.0,815,15.090,0.080,1.21,0.000000,0.078161,0.015000,0.000000,0.000000,0.700000,0.000000
3.4456,1,-240.3313,0.0,829,15.090,0.080,1.21,0.000000,0.063111,0.015000,0.000000,0.000000,0.700000,0.000000
3.4521,1,-320.4114,0.0,832,15.090,0.080,1.21,0.000000,0.086054,0.015000,0.000000,0.000000,0.700000,0.000000
4.1468,1,-347.8828,0.0,827,15.090,0.080,1.21,0.000000,0.089417,0.015000,0.000000,0.000000,0.700000,0.000000
4.8343,1,-336.8324,0.0,828,15.090,0.080,1.21,0.000000,0.088669,0.015000,0.000000,0.000000,0.700000,0.000000
5.5207,1,-73.3235,0.0,828,15.090,0.080,1.21,0.000000,0.016984,0.015000,0.000000,0.000000,0.700000,0.000000
6.2075,1,-355.5974,0.0,802,15.090,0.080,1.21,0.000000,0.093236,0.015000,0.000000,0.000000,0.700000,0.000000
6.8971,1,-355.6906,0.0,828,15.090,0.080,1.21,0.000000,0.087553,0.015000,0.000000,0.000000,0.700000,0.000000
7.5859,1,-355.1495,0.0,821,15.090,0.080,1.21,0.000000,0.093357,0.015000,0.000000,0.000000,0.700000,0.000000
8.2726,1,-26.8845,0.0,827,15.090,0.080,1.21,0.000000,0.033626,0.015000,0.000000,0.000000,0.700000,0.000000
8.2831,1,-279.2292,0.0,826,15.090,0.080,1.21,0.000000,0.078773,0.015000,0.000000,0.000000,0.700000,0.000000
8.9712,1,-435.7075,0.0,830,15.090,0.080,1.21,0.000000,0.104048,0.015000,0.000000,0.000000,0.700000,0.000000
9.6590,1,-404.6724,0.0,836,15.090,0.080,1.21,0.000000,0.102603,0.015000,0.000000,0.000000,0.700000,0.000000
10.3546,1,-373.4044,0.0,827,15.090,0.080,1.21,0.000000,0.098490,0.015000,0.000000,0.000000,0.700000,0.000000
11.0348,1,-351.1449,0.0,832,15.090,0.080,1.21,0.000000,0.091898,0.015000,0.000000,0.000000,0.700000,0.000000
11.7258,1,-355.3235,0.0,832,15.090,0.080,1.21,0.000000,0.092934,0.015000,0.000000,0.000000,0.700000,0.000000
12.4108,1,-356.7751,0.0,828,15.090,0.080,1.21,0.000000,0.095130,0.015000,0.000000,0.000000,0.700000,0.000000
13.1021,1,-286.7299,0.0,828,15.090,0.080,1.21,0.000000,0.075536,0.015000,0.000000,0.000000,0.700000,0.000000
13.7900,1,-157.5172,0.0,823,15.090,0.080,1.21,0.000000,0.041453,0.015000,0.000000,0.000000,0.700000,0.000000
14.4791,1,-83.7694,0.0,812,15.090,0.080,1.21,0.000000,0.021800,0.015000,0.000000,0.000000,0.700000,0.000000
14.7355,1,-318.2853,0.0,807,15.090,0.080,1.21,0.000000,0.082113,0.015000,0.000000,0.000000,0.700000,0.000000
15.4324,1,-492.2114,0.0,825,15.090,0.080,1.21,0.000000,0.131189,0.015000,0.000000,0.000000,0.700000,0.000000
16.1215,1,-522.9237,0.0,839,15.090,0.080,1.21,0.000000,0.136552,0.015000,0.000000,0.000000,0.700000,0.000000
16.8112,1,-519.1897,0.0,841,15.090,0.080,1.21,0.000000,0.135432,0.015000,0.000000,0.000000,0.700000,0.000000
17.7364,1,-514.3331,0.0,840,15.090,0.080,1.21,0.000000,0.135690,0.015000,0.000000,0.000000,0.700000,0.000000
18.4262,1,-807.3249,0.0,841,15.090,0.080,1.21,0.000000,0.209606,0.015000,0.000000,0.000000,0.700000,0.000000
19.1133,1,-823.6249,0.0,862,15.090,0.080,1.21,0.000000,0.215408,0.015000,0.000000,0.000000,0.700000,0.000000
20.3938,1,-331.5857,0.0,864,15.090,0.080,1.21,0.000000,0.092489,0.015000,0.000000,0.000000,0.700000,0.000000
20.4829,1,-199.9982,0.0,828,15.090,0.080,1.21,0.000000,0.052766,0.015000,0.000000,0.000000,0.700000,0.000000
21.1983,1,-90.3372,0.0,816,15.090,0.080,1.21,0.000000,0.023936,0.015000,0.000000,0.000000,0.700000,0.000000
21.8846,1,-237.5504,0.0,808,15.090,0.080,1.21,0.000000,0.060904,0.015000,0.000000,0.000000,0.700000,0.000000
22.5728,1,-389.5753,0.0,817,15.090,0.080,1.21,0.000000,0.102109,0.015000,0.000000,0.000000,0.700000,0.000000
23.5014,1,-226.3999,0.0,831,15.090,0.080,1.21,0.000000,0.059400,0.015000,0.000000,0.000000,0.700000,0.000000
24.1888,1,-129.5817,0.0,818,15.090,0.080,1.21,0.000000,0.033956,0.015000,0.000000,0.000000,0.700000,0.000000
24.8789,1,-53.1094,0.0,810,15.090,0.080,1.21,0.000000,0.014181,0.015000,0.000000,0.000000,0.700000,0.000000
25.5808,1,-2.8718,0.0,805,15.090,0.080,1.21,0.000000,0.000829,0.015000,0.000000,0.000000,0.700000,0.000000
25.8043,1,0.2587,0.0,800,15.090,0.080,1.21,0.000000,-0.000071,0.015000,0.000000,0.000000,0.700000,0.000000
26.4457,1,0.2315,0.0,800,15.090,0.080,1.21,0.000000,-0.000060,0.015000,0.000000,0.000000,0.700000,0.000000
27.2016,1,0.2541,0.0,800,15.090,0.080,1.21,0.000000,-0.000073,0.015000,0.000000,0.000000,0.700000,0.000000
27.8893,1,0.2338,0.0,800,15.090,0.080,1.21,0.000000,-0.000070,0.015000,0.000000,0.000000,0.700000,0.000000
28.5764,1,0.2909,0.0,800,15.090,0.080,1.21,0.000000,-0.000077,0.015000,0.000000,0.000000,0.700000,0.000000
29.2697,1,0.2458,0.0,800,15.090,0.080,1.21,0.000000,-0.000062,0.015000,0.000000,0.000000,0.700000,0.000000
29.9538,1,0.2256,0.0,800,15.090,0.080,1.21,0.000000,-0.000062,0.015000,0.000000,0.000000,0.700000,0.000000
30.6407,1,0.2470,0.0,800,15.090,0.080,1.21,0.000000,-0.000061,0.015000,0.000000,0.000000,0.700000,0.000000
31.3304,1,0.2733,0.0,800,15.090,0.080,1.21,0.000000,-0.000074,0.015000,0.000000,0.000000,0.700000,0.000000
32.0182,1,0.2463,0.0,800,15.090,0.080,1.21,0.000000,-0.000059,0.015000,0.000000,0.000000,0.700000,0.000000
